"Gene","pseudo_bulk","RawData_CellCount_0.5","RawData_CellCount_1.0","RawData_CellCount_1.5","RawData_CellCount_2.0"
"Gr1",19914,201,187,187,184
"Orco",9076,527,429,429,388
"Or8",1615,271,185,185,163
"Or49",1276,191,155,155,139
"Gr2",1212,223,153,153,134
"Ir25a",1145,436,273,273,168
"Gr3",530,165,126,126,92
"Ir76b",477,209,103,103,59
"Ir75i",116,92,14,14,6
"Ir64a",115,108,7,7,0
"Or16",100,68,10,10,1
"Ir93a",90,72,14,14,2
"Ir75g",73,69,4,4,0
"Ir41k",70,62,4,4,1
"Ir162",57,47,8,8,2
"Ir100a",53,18,10,10,7
"Gr64",53,51,2,2,0
"Gr77",50,47,3,3,0
"Ir41a",47,39,7,7,1
"Ir161",40,36,4,4,0
"Ir41o",39,35,3,3,1
"Gr67a",36,35,1,1,0
"Or44",34,31,3,3,0
"Gr73",31,28,3,3,0
"Gr30",30,29,1,1,0
"Or47",29,18,1,1,1
"Gr26",28,27,1,1,0
"Or6",27,25,2,2,0
"Gr74a",26,26,0,0,0
"Ir75e",26,26,0,0,0
"Or132",25,21,3,3,1
"Or4",24,7,1,1,1
"Or48",23,21,2,2,0
"Ir31a2",20,20,0,0,0
"Gr32",19,18,1,1,0
"Gr25",18,15,3,3,0
"Ir163",18,18,0,0,0
"Or81",17,17,0,0,0
"Or9",16,16,0,0,0
"Gr7",16,16,0,0,0
"Or23",16,16,0,0,0
"Or94",16,11,2,2,2
"Gr10",15,15,0,0,0
"Ir41p",15,13,2,2,0
"Gr19a",14,14,0,0,0
"Gr31",13,13,0,0,0
"Gr8",13,13,0,0,0
"Ir75h",12,11,1,1,0
"Gr76",12,12,0,0,0
"Ir75d",12,11,1,1,0
"Ir117",12,12,0,0,0
"Or125",11,10,1,1,0
"Or104",10,9,1,1,0
"Or128",10,10,0,0,0
"Gr23",10,9,1,1,0
"Ir137",9,8,1,1,0
"Gr11",9,9,0,0,0
"Or29",9,9,0,0,0
"Gr34",9,8,1,1,0
"Or38",9,9,0,0,0
"Or22",9,9,0,0,0
"Ir8a",8,7,1,1,0
"Or82",8,5,1,1,1
"Ir31a1",8,8,0,0,0
"Ir164",8,8,0,0,0
"Or36",7,3,1,1,1
"Or121",7,7,0,0,0
"Gr63",7,7,0,0,0
"Gr62",7,7,0,0,0
"Or77",6,6,0,0,0
"Ir102",6,6,0,0,0
"Or122",6,6,0,0,0
"Gr22",6,6,0,0,0
"Gr46",6,5,1,1,0
"Gr55",6,5,1,1,0
"Or28",6,6,0,0,0
"Or52",6,5,1,1,0
"Or97",6,6,0,0,0
"Gr80",6,5,1,1,0
"Gr45",6,6,0,0,0
"Ir41b",6,6,0,0,0
"Or58",5,5,0,0,0
"Gr39e",5,5,0,0,0
"Or71",5,4,1,1,0
"Gr14",5,5,0,0,0
"Ir41n",5,5,0,0,0
"Or34",5,5,0,0,0
"Or32",4,4,0,0,0
"Ir103",4,3,1,1,0
"Gr19c",4,3,1,1,0
"Gr39a",4,4,0,0,0
"Gr39d",4,3,1,1,0
"Gr69",4,4,0,0,0
"Ir21a",4,4,0,0,0
"Ir75f",4,4,0,0,0
"Ir75j",4,4,0,0,0
"Gr43",4,4,0,0,0
"Or85",4,3,1,1,0
"Ir41c",4,4,0,0,0
"Ir75k",4,4,0,0,0
"Ir7e",4,4,0,0,0
"Ir113",4,4,0,0,0
"Ir136",3,3,0,0,0
"Ir134",3,3,0,0,0
"Gr16",3,3,0,0,0
"Gr33a",3,3,0,0,0
"Gr39h",3,3,0,0,0
"Ir169",3,3,0,0,0
"Ir107",3,3,0,0,0
"Gr60a",3,3,0,0,0
"Or43",3,3,0,0,0
"Or67",3,3,0,0,0
"Or84",3,3,0,0,0
"Gr58",3,3,0,0,0
